SERIES,SIZE,SIZE_DISPLAY,UNIT
S6A,0.5,1/2,""""
MS6,0.5,1/2,""""
MICRO-FLO,0.125,1/8,""""
MICRO-FLO,0.25,1/4,""""
MICRO-FLO,0.375,3/8,""""
MICRO-FLO,0.5,1/2,""""
F-400,0.25,1/4,""""
F-400,0.375,3/8,""""
F-400,0.5,1/2,""""
F-400,1,1,""""
F-440,0.375,3/8,""""
F-440,0.5,1/2,""""
F-440,0.75,3/4,""""
F-450,0.375,3/8,""""
F-450,0.5,1/2,""""
F-450,0.75,3/4,""""
F-550,0.25,1/4,""""
F-550,0.375,3/8,""""
F-550,0.5,1/2,""""
F-550,0.75,3/4,""""
F-550,1,1,""""
F-1000 ,0.375,3/8,""""
F-1000 ,0.5,1/2,""""
F-1000 ,0.75,3/4,""""
F-1000 ,1,1,""""
F-1000 ,1.5,1 1/2,""""
F-1000 ,2,2,""""
F-1000 ,2.5,2 1/2,""""
F-1000 ,3,3,""""
F-1000 ,4,4,""""
F-1000 ,6,6,""""
F-1000 ,8,8,""""
F-1000 ,10,10,""""
F-1000 ,12,12,""""
F-1000 ,50,50,mm
F-1000 ,63,63,mm
F-1000 ,75,75,mm
F-1000 ,90,90,mm
F-1000 ,110,110,mm
F-1000 ,160,160,mm
F-1000 ,200,200,mm
F-1000 ,250,250,mm
F-1000 ,315,315,mm
F-2000 ,0.375,3/8,""""
F-2000 ,0.5,1/2,""""
F-2000 ,0.75,3/4,""""
F-2000 ,1,1,""""
F-2000 ,1.5,1 1/2,""""
F-2000 ,2,2,""""
F-2000 ,2.5,2 1/2,""""
F-2000 ,3,3,""""
F-2000 ,4,4,""""
F-2000 ,6,6,""""
F-2000 ,8,8,""""
F-2000 ,10,10,""""
F-2000 ,12,12,""""
F-2000 ,50,50,mm
F-2000 ,63,63,mm
F-2000 ,75,75,mm
F-2000 ,90,90,mm
F-2000 ,110,110,mm
F-2000 ,160,160,mm
F-2000 ,200,200,mm
F-2000 ,250,250,mm
F-2000 ,315,315,mm
F-300,1,1,""""
F-300,1.25,1 1/4,""""
F-300,2.5,2 1/2,""""
F-300,3,3,""""
F-300,4,4,""""
F-300,6,6,""""
F-300,8,8,""""
F-300,32,32,mm
F-300,50,50,mm
F-300,63,63,mm
F-300,75,75,mm
F-300,90,90,mm
F-300,110,110,mm
F-300,160,160,mm
F-300,200,200,mm
F-460,0.5,1/2,""""
F-460,0.75,3/4,""""
F-410,0.5,1/2,""""
F-410,0.75,3/4,""""
F-420,1,1,""""
F-420,1.5,1.5,""""
F-451,1,1,""""
F-451,1.5,1.5,""""
F-461,1,1,""""
